instance_id,seed,model,original_query,repaired_query,ground_truth_repair,exec_success,equiv_success,similarity,oracle_score,edit_distance,edit_distance_norm,latency_s,difficulty,drift_category,query_complexity,sqlstate,captured_error,model_error,prompt_sha1,response_sha1
SDR-42-0001,42,Gemma3_27b,"WITH t AS (SELECT ""customer_id"" AS key_col FROM ""customers"" WHERE ""customer_id"" IS NOT NULL) SELECT key_col, COUNT(*) AS cnt FROM t GROUP BY key_col ORDER BY cnt DESC LIMIT 25;","WITH t AS (SELECT ""user_id"" AS key_col FROM ""customers"" WHERE ""user_id"" IS NOT NULL) SELECT key_col, COUNT(*) AS cnt FROM t GROUP BY key_col ORDER BY cnt DESC LIMIT 25;","WITH t AS (SELECT user_id AS key_col FROM ""customers"" WHERE NOT user_id IS NULL) SELECT key_col, COUNT(*) AS cnt FROM t GROUP BY key_col ORDER BY cnt DESC LIMIT 25;",True,True,1.0,1.0,11,0.06547619047619048,10.46802830696106,2,single_column,cte,42703,"column ""customer_id"" does not exist
LINE 1: WITH t AS (SELECT ""customer_id"" AS key_col FROM ""customers"" ...
                          ^
",,268182e08bcffcb7717972a2eabd4ccf2da78458,398328580814c70b9caf4904ad91bb634b2032b4
SDR-42-0001,42,DeepSeek_7b,"WITH t AS (SELECT ""customer_id"" AS key_col FROM ""customers"" WHERE ""customer_id"" IS NOT NULL) SELECT key_col, COUNT(*) AS cnt FROM t GROUP BY key_col ORDER BY cnt DESC LIMIT 25;","WITH t AS (SELECT customer_id AS key_col FROM ""orders"" WHERE customer_id IS NOT NULL) SELECT key_col, COUNT(*) AS cnt FROM t GROUP BY key_col ORDER BY cnt DESC LIMIT 25;","WITH t AS (SELECT user_id AS key_col FROM ""customers"" WHERE NOT user_id IS NULL) SELECT key_col, COUNT(*) AS cnt FROM t GROUP BY key_col ORDER BY cnt DESC LIMIT 25;",True,False,0.0,0.0,20,0.11834319526627218,9.241196155548096,2,single_column,cte,42703,"column ""customer_id"" does not exist
LINE 1: WITH t AS (SELECT ""customer_id"" AS key_col FROM ""customers"" ...
                          ^
",,268182e08bcffcb7717972a2eabd4ccf2da78458,e50c4eb55c6277f4a01babac5b68b09343d05d92
SDR-42-0001,42,Mistral_7b,"WITH t AS (SELECT ""customer_id"" AS key_col FROM ""customers"" WHERE ""customer_id"" IS NOT NULL) SELECT key_col, COUNT(*) AS cnt FROM t GROUP BY key_col ORDER BY cnt DESC LIMIT 25;","WITH t AS (SELECT customer_id AS key_col FROM ""customers"" WHERE customer_id IS NOT NULL)
SELECT key_col, COUNT(*) AS cnt
FROM t
GROUP BY key_col
ORDER BY cnt DESC
LIMIT 25;","WITH t AS (SELECT user_id AS key_col FROM ""customers"" WHERE NOT user_id IS NULL) SELECT key_col, COUNT(*) AS cnt FROM t GROUP BY key_col ORDER BY cnt DESC LIMIT 25;",False,False,0.0,0.0,14,0.08139534883720931,3.333111047744751,2,single_column,cte,42703,"column ""customer_id"" does not exist
LINE 1: WITH t AS (SELECT ""customer_id"" AS key_col FROM ""customers"" ...
                          ^
","column ""customer_id"" does not exist
LINE 1: WITH t AS (SELECT customer_id AS key_col FROM ""customers"" WH...
                          ^
",268182e08bcffcb7717972a2eabd4ccf2da78458,7885bfb40a61412f40d84f8d2b1514ccb0c022aa
SDR-42-0001,42,phi4_14b,"WITH t AS (SELECT ""customer_id"" AS key_col FROM ""customers"" WHERE ""customer_id"" IS NOT NULL) SELECT key_col, COUNT(*) AS cnt FROM t GROUP BY key_col ORDER BY cnt DESC LIMIT 25;","WITH t AS (SELECT ""user_id"" AS key_col FROM ""customers"" WHERE ""user_id"" IS NOT NULL) SELECT key_col, COUNT(*) AS cnt FROM t GROUP BY key_col ORDER BY cnt DESC LIMIT 25;","WITH t AS (SELECT user_id AS key_col FROM ""customers"" WHERE NOT user_id IS NULL) SELECT key_col, COUNT(*) AS cnt FROM t GROUP BY key_col ORDER BY cnt DESC LIMIT 25;",True,True,1.0,1.0,11,0.06547619047619048,5.994798898696899,2,single_column,cte,42703,"column ""customer_id"" does not exist
LINE 1: WITH t AS (SELECT ""customer_id"" AS key_col FROM ""customers"" ...
                          ^
",,268182e08bcffcb7717972a2eabd4ccf2da78458,6a68558149f5a9497395ef9ed30b382e11aded54
SDR-42-0001,42,baseline_fuzzy,"WITH t AS (SELECT ""customer_id"" AS key_col FROM ""customers"" WHERE ""customer_id"" IS NOT NULL) SELECT key_col, COUNT(*) AS cnt FROM t GROUP BY key_col ORDER BY cnt DESC LIMIT 25;","WITH t AS (SELECT ""customer_id"" AS key_col FROM ""customers"" WHERE ""customer_id"" IS NOT NULL) SELECT key_col, COUNT(*) AS cnt FROM t GROUP BY key_col ORDER BY cnt DESC LIMIT 25;","WITH t AS (SELECT user_id AS key_col FROM ""customers"" WHERE NOT user_id IS NULL) SELECT key_col, COUNT(*) AS cnt FROM t GROUP BY key_col ORDER BY cnt DESC LIMIT 25;",False,False,0.0,0.0,18,0.10227272727272728,0.0,2,single_column,cte,42703,"column ""customer_id"" does not exist
LINE 1: WITH t AS (SELECT ""customer_id"" AS key_col FROM ""customers"" ...
                          ^
","column ""customer_id"" does not exist
LINE 1: WITH t AS (SELECT ""customer_id"" AS key_col FROM ""customers"" ...
                          ^
",268182e08bcffcb7717972a2eabd4ccf2da78458,bcfd81eac8a021ca7dc748b41fe193e445081b27
SDR-42-0002,42,Gemma3_27b,"SELECT ""customer_id"", COUNT(*) AS cnt FROM ""customers"" WHERE ""customer_id"" IS NOT NULL GROUP BY ""customer_id"" ORDER BY cnt DESC LIMIT 50;","SELECT customer_id, COUNT(*) AS cnt FROM orders WHERE customer_id IS NOT NULL GROUP BY customer_id ORDER BY cnt DESC LIMIT 50;","SELECT client_id, COUNT(*) AS cnt FROM customer_master WHERE NOT client_id IS NULL GROUP BY client_id ORDER BY cnt DESC LIMIT 50;",True,False,0.22,0.22,39,0.3023255813953488,8.916217565536499,1,mixed,aggregation,42P01,"relation ""customers"" does not exist
LINE 1: SELECT ""customer_id"", COUNT(*) AS cnt FROM ""customers"" WHERE...
                                                   ^
",,6eceb315b4682b901b2ca18a5a3e13ff9a75a50f,e52bff358c95f9303676cf95686eb2951abc1491
SDR-42-0002,42,DeepSeek_7b,"SELECT ""customer_id"", COUNT(*) AS cnt FROM ""customers"" WHERE ""customer_id"" IS NOT NULL GROUP BY ""customer_id"" ORDER BY cnt DESC LIMIT 50;","SELECT ""customer_id"", COUNT(*) AS cnt FROM ""customer_master"" WHERE ""customer_id"" IS NOT NULL GROUP BY ""customer_id"" ORDER BY cnt DESC LIMIT 50;","SELECT client_id, COUNT(*) AS cnt FROM customer_master WHERE NOT client_id IS NULL GROUP BY client_id ORDER BY cnt DESC LIMIT 50;",False,False,0.0,0.0,34,0.23776223776223776,7.364927530288696,1,mixed,aggregation,42P01,"relation ""customers"" does not exist
LINE 1: SELECT ""customer_id"", COUNT(*) AS cnt FROM ""customers"" WHERE...
                                                   ^
","column ""customer_id"" does not exist
LINE 1: SELECT ""customer_id"", COUNT(*) AS cnt FROM ""customer_master""...
               ^
",6eceb315b4682b901b2ca18a5a3e13ff9a75a50f,64b54b76463a90f04de267097243a4fba1595079
SDR-42-0002,42,Mistral_7b,"SELECT ""customer_id"", COUNT(*) AS cnt FROM ""customers"" WHERE ""customer_id"" IS NOT NULL GROUP BY ""customer_id"" ORDER BY cnt DESC LIMIT 50;","SELECT customer_id, COUNT(*) AS cnt FROM customer_master GROUP BY customer_id ORDER BY cnt DESC LIMIT 50;","SELECT client_id, COUNT(*) AS cnt FROM customer_master WHERE NOT client_id IS NULL GROUP BY client_id ORDER BY cnt DESC LIMIT 50;",False,False,0.0,0.0,42,0.32558139534883723,3.1825428009033203,1,mixed,aggregation,42P01,"relation ""customers"" does not exist
LINE 1: SELECT ""customer_id"", COUNT(*) AS cnt FROM ""customers"" WHERE...
                                                   ^
","column ""customer_id"" does not exist
LINE 1: SELECT customer_id, COUNT(*) AS cnt FROM customer_master GRO...
               ^
",6eceb315b4682b901b2ca18a5a3e13ff9a75a50f,095ede3c12bad513d5ca84e8f6cef1420daca889
SDR-42-0002,42,phi4_14b,"SELECT ""customer_id"", COUNT(*) AS cnt FROM ""customers"" WHERE ""customer_id"" IS NOT NULL GROUP BY ""customer_id"" ORDER BY cnt DESC LIMIT 50;","SELECT customer_id, COUNT(*) AS cnt FROM order_items WHERE customer_id IS NOT NULL GROUP BY customer_id ORDER BY cnt DESC LIMIT 50;","SELECT client_id, COUNT(*) AS cnt FROM customer_master WHERE NOT client_id IS NULL GROUP BY client_id ORDER BY cnt DESC LIMIT 50;",False,False,0.0,0.0,38,0.2900763358778626,6.501791000366211,1,mixed,aggregation,42P01,"relation ""customers"" does not exist
LINE 1: SELECT ""customer_id"", COUNT(*) AS cnt FROM ""customers"" WHERE...
                                                   ^
","column ""customer_id"" does not exist
LINE 1: SELECT customer_id, COUNT(*) AS cnt FROM order_items WHERE c...
               ^
",6eceb315b4682b901b2ca18a5a3e13ff9a75a50f,7bf25920f3cd88ee66c1aff660c5d056d3036a0f
SDR-42-0002,42,baseline_fuzzy,"SELECT ""customer_id"", COUNT(*) AS cnt FROM ""customers"" WHERE ""customer_id"" IS NOT NULL GROUP BY ""customer_id"" ORDER BY cnt DESC LIMIT 50;","SELECT ""customer_id"", COUNT(*) AS cnt FROM customer_master WHERE NOT ""customer_id"" IS NULL GROUP BY ""customer_id"" ORDER BY cnt DESC LIMIT 50;","SELECT client_id, COUNT(*) AS cnt FROM customer_master WHERE NOT client_id IS NULL GROUP BY client_id ORDER BY cnt DESC LIMIT 50;",False,False,0.0,0.0,27,0.19148936170212766,0.0,1,mixed,aggregation,42P01,"relation ""customers"" does not exist
LINE 1: SELECT ""customer_id"", COUNT(*) AS cnt FROM ""customers"" WHERE...
                                                   ^
","column ""customer_id"" does not exist
LINE 1: SELECT ""customer_id"", COUNT(*) AS cnt FROM customer_master W...
               ^
",6eceb315b4682b901b2ca18a5a3e13ff9a75a50f,518660301b0ad81d8d1eb01c682d121028330a68
